"ISO","confirmation_lens","admin_level","threshold","cumu_clinical_cases_lb","cumu_clinical_cases_median","cumu_clinical_cases_ub","n_rdt_tested_lb","n_rdt_tested_median","n_rdt_tested_ub","n_culture_tested_lb","n_culture_tested_median","n_culture_tested_ub"
"AGO","district-estimate","admin1",1e-04,29388.9788181239,34463.1432282818,40883.3295905967,21747.8443254117,25502.7259889285,30253.6638970416,5845.82055467066,6855.13274582399,8132.18485552477
"AGO","district-estimate","admin1",2e-04,30442.8504632696,38289.9180077436,50452.6610254995,22527.7093428195,28334.5393257303,37334.9691588696,6055.44827134988,7616.3241707563,10035.6397099042
"AGO","district-estimate","admin1",0.001,40954.5739007328,54368.344898734,60831.510648706,30306.3846865423,40232.5752250632,45015.3178800424,8146.35620374256,10814.516220497,12100.1174461554
"AGO","district-estimate","admin2",1e-04,25360.2324096495,31318.6423181595,35581.4139442797,18766.5719831406,23175.795315438,26330.246318767,5044.4545490682,6229.65378078974,7077.57021048456
"AGO","district-estimate","admin2",2e-04,28978.5569269307,34015.5351672849,39240.3166478085,21444.1321259287,25171.4960237908,29037.8343193783,5764.18271544964,6766.09813119497,7805.36986504888
"AGO","district-estimate","admin2",0.001,39178.7141828724,46601.1345809852,55133.9734737783,28992.2484953256,34484.839589929,40799.1403705959,7793.11639554351,9269.52488177293,10966.8089316162
"AGO","global-estimate","admin1",1e-04,30004.7619986983,35690.6979355176,41423.2055251104,0,0,0,9001.42859960949,10707.2093806553,12426.9616575331
"AGO","global-estimate","admin1",2e-04,33322.3820673627,40947.0589821409,53229.8970641622,0,0,0,9996.71462020881,12284.1176946423,15968.9691192487
"AGO","global-estimate","admin1",0.001,40954.5739007328,54566.85692995,60878.7539468647,0,0,0,12286.3721702198,16370.057078985,18263.6261840594
"AGO","global-estimate","admin2",1e-04,27205.6414965061,31996.9357817003,36656.4605186348,0,0,0,8161.69244895183,9599.08073451009,10996.9381555904
"AGO","global-estimate","admin2",2e-04,24298.8253116074,34248.0594250304,48672.9694423374,0,0,0,7289.64759348222,10274.4178275091,14601.8908327012
"AGO","global-estimate","admin2",0.001,39404.8322780578,47942.8015115002,57674.5729765069,0,0,0,11821.4496834173,14382.8404534501,17302.3718929521
"AGO","no-estimate","admin1",1e-04,26060.1439388933,31714.2250027866,35322.6086728564,0,0,0,0,0,0
"AGO","no-estimate","admin1",2e-04,29774.9916385692,34858.8075995943,40906.7421546843,0,0,0,0,0,0
"AGO","no-estimate","admin1",0.001,39004.8727248976,46302.8243666618,57263.9328803394,0,0,0,0,0,0
"AGO","no-estimate","admin2",1e-04,23215.8128420934,30285.6691789044,34060.0864982246,0,0,0,0,0,0
"AGO","no-estimate","admin2",2e-04,26723.0987820694,31550.7378328242,35398.0603149484,0,0,0,0,0,0
"AGO","no-estimate","admin2",0.001,34670.1639290547,39785.7154593458,47257.7400193214,0,0,0,0,0,0
"BDI","district-estimate","admin1",1e-04,10524.8515658586,11860.4528848539,13650.7547451316,7788.39015873536,8776.73513479188,10101.5585113974,2093.51927466807,2359.18640423206,2715.29892786362
"BDI","district-estimate","admin1",2e-04,12275.2868025286,13020.7029189369,13944.9515049133,9083.71223387117,9635.32016001331,10319.2641136358,2441.70184846457,2589.97405901158,2773.81819374531
"BDI","district-estimate","admin1",0.001,12356.4043482072,13070.4077703474,13944.9515049133,9143.73921767333,9672.10175005708,10319.2641136358,2457.83710171059,2599.86095041534,2773.81819374531
"BDI","district-estimate","admin2",1e-04,7408.69286477081,8089.39197742922,9042.13246662395,5482.4327199304,5986.15006329762,6691.17802530172,1473.67791511729,1609.0771370144,1798.5886532011
"BDI","district-estimate","admin2",2e-04,8884.75410763308,9901.3346719805,10934.1427083485,6574.71803964848,7326.98765726557,8091.26560417789,1767.28420905751,1969.49428227299,2174.93219440302
"BDI","district-estimate","admin2",0.001,11626.1336958533,12194.4582117761,12824.3153761703,8603.33893493144,9023.89907671431,9489.99337836602,2312.57750570957,2425.62407182081,2550.91022010479
"BDI","global-estimate","admin1",1e-04,11489.2149984933,12437.5703326107,13424.4615960452,0,0,0,3446.76449954799,3731.27109978321,4027.33847881356
"BDI","global-estimate","admin1",2e-04,12186.2432633304,13222.7455156189,15121.0224724457,0,0,0,3655.87297899912,3966.82365468567,4536.30674173371
"BDI","global-estimate","admin1",0.001,12356.4043482072,13070.4077703474,13944.9515049133,0,0,0,3706.92130446216,3921.12233110422,4183.48545147399
"BDI","global-estimate","admin2",1e-04,7819.05167126845,8340.58323779462,9136.78922341551,0,0,0,2345.71550138053,2502.17497133839,2741.03676702465
"BDI","global-estimate","admin2",2e-04,7211.19142112934,10144.9992747084,14585.1508612942,0,0,0,2163.3574263388,3043.49978241252,4375.54525838826
"BDI","global-estimate","admin2",0.001,11626.1336958533,12194.4582117761,12824.3153761703,0,0,0,3487.84010875599,3658.33746353283,3847.29461285109
"BDI","no-estimate","admin1",1e-04,8450.72244529651,9004.6944171573,9474.19737456677,0,0,0,0,0,0
"BDI","no-estimate","admin1",2e-04,11274.3230887863,11959.7178127481,12631.1298490517,0,0,0,0,0,0
"BDI","no-estimate","admin1",0.001,12384.4092098022,13166.4116097739,14034.1093112949,0,0,0,0,0,0
"BDI","no-estimate","admin2",1e-04,6829.76323155097,7209.89457054824,7672.69685769157,0,0,0,0,0,0
"BDI","no-estimate","admin2",2e-04,7631.29913813114,8061.87968654372,8616.73155883232,0,0,0,0,0,0
"BDI","no-estimate","admin2",0.001,11603.4782766084,12165.6030229885,12779.8756518609,0,0,0,0,0,0
"BEN","district-estimate","admin1",1e-04,7156.210218064,8816.60614183747,10314.8654697361,5295.59556136736,6524.28854495973,7633.00044760471,1423.45608689555,1753.72876088517,2051.75052031615
"BEN","district-estimate","admin1",2e-04,7156.210218064,8817.84589135211,10314.8654697361,5295.59556136736,6525.20595960056,7633.00044760471,1423.45608689555,1753.97536194063,2051.75052031615
"BEN","district-estimate","admin1",0.001,7156.210218064,8817.84589135211,10314.8654697361,5295.59556136736,6525.20595960056,7633.00044760471,1423.45608689555,1753.97536194063,2051.75052031615
"BEN","district-estimate","admin2",1e-04,6934.92891173003,7668.05982682336,8501.96137556799,5131.84739468022,5674.36427184929,6291.45141792031,1379.44057969004,1525.26911627309,1691.14214113698
"BEN","district-estimate","admin2",2e-04,7275.36397097615,8034.51981815885,9136.9937655057,5383.76933852235,5945.54466543755,6761.37538647422,1447.15719819481,1598.16240606961,1817.45770388427
"BEN","district-estimate","admin2",0.001,7404.16235715233,8851.69773305678,10016.9731556515,5479.08014429272,6550.25632246202,7412.56013518211,1472.77674278588,1760.70889947779,1992.49616433695
"BEN","global-estimate","admin1",1e-04,7155.27598680694,8814.15986501655,10314.1479559888,0,0,0,2146.58279604208,2644.24795950496,3094.24438679664
"BEN","global-estimate","admin1",2e-04,7110.11557206481,8700.53662942681,10557.2830193888,0,0,0,2133.03467161944,2610.16098882804,3167.18490581664
"BEN","global-estimate","admin1",0.001,7156.210218064,8817.84589135212,10314.8654697361,0,0,0,2146.8630654192,2645.35376740564,3094.45964092083
"BEN","global-estimate","admin2",1e-04,7085.26730401644,7725.34073554767,8798.10483515729,0,0,0,2125.58019120493,2317.6022206643,2639.43145054719
"BEN","global-estimate","admin2",2e-04,5495.87741344116,8249.81815583746,12469.8376704699,0,0,0,1648.76322403235,2474.94544675124,3740.95130114097
"BEN","global-estimate","admin2",0.001,7404.16235715233,8851.69773305678,10016.9731556515,0,0,0,2221.2487071457,2655.50931991703,3005.09194669545
"BEN","no-estimate","admin1",1e-04,7021.09445393976,8143.66362292085,9136.97350611406,0,0,0,0,0,0
"BEN","no-estimate","admin1",2e-04,7155.27598680693,8814.15986501655,10314.1479559888,0,0,0,0,0,0
"BEN","no-estimate","admin1",0.001,7155.27598680693,8814.15986501655,10314.1479559888,0,0,0,0,0,0
"BEN","no-estimate","admin2",1e-04,5808.06417314471,6477.94630358649,7144.55448713594,0,0,0,0,0,0
"BEN","no-estimate","admin2",2e-04,6965.47802177373,7651.06608274897,8491.22548415135,0,0,0,0,0,0
"BEN","no-estimate","admin2",0.001,7404.33208783886,8708.78071049827,10001.8110730693,0,0,0,0,0,0
"BFA","district-estimate","admin1",1e-04,824.001244885169,1126.47488592131,1585.41461172547,609.760921215025,833.591415581769,1173.20681267685,163.903735622599,224.06937250838,315.357991247537
"BFA","district-estimate","admin1",2e-04,824.001244885169,1126.47488592131,1585.41461172547,609.760921215025,833.591415581769,1173.20681267685,163.903735622599,224.06937250838,315.357991247537
"BFA","district-estimate","admin1",0.001,824.001244885169,1126.47488592131,1585.41461172547,609.760921215025,833.591415581769,1173.20681267685,163.903735622599,224.06937250838,315.357991247537
"BFA","district-estimate","admin2",1e-04,823.462870997293,1129.81878422326,1560.62469741547,609.362524537997,836.065900325212,1154.86227608745,163.796646595814,224.734514007417,310.426979812306
"BFA","district-estimate","admin2",2e-04,823.462870997293,1129.81878422326,1564.86991115078,609.362524537997,836.065900325212,1158.00373425158,163.796646595814,224.734514007417,311.271403766824
"BFA","district-estimate","admin2",0.001,823.462870997293,1129.81878422326,1564.86991115078,609.362524537997,836.065900325212,1158.00373425158,163.796646595814,224.734514007417,311.271403766824
"BFA","global-estimate","admin1",1e-04,824.202152315026,1127.04170016689,1587.36124478143,0,0,0,247.260645694508,338.112510050067,476.208373434429
"BFA","global-estimate","admin1",2e-04,812.591405593062,1129.43773590413,1622.37495978287,0,0,0,243.777421677919,338.831320771239,486.712487934861
"BFA","global-estimate","admin1",0.001,824.001244885169,1126.47488592131,1585.41461172547,0,0,0,247.200373465551,337.942465776393,475.624383517641
"BFA","global-estimate","admin2",1e-04,823.412107042144,1129.70791763147,1564.70774944662,0,0,0,247.023632112643,338.912375289441,469.412324833986
"BFA","global-estimate","admin2",2e-04,576.626290698589,1119.67219858954,2204.96873212248,0,0,0,172.987887209577,335.901659576862,661.490619636744
"BFA","global-estimate","admin2",0.001,823.462870997293,1129.81878422326,1564.86991115078,0,0,0,247.038861299188,338.945635266978,469.460973345234
"BFA","no-estimate","admin1",1e-04,824.202152315027,1127.04170016689,1587.36124478143,0,0,0,0,0,0
"BFA","no-estimate","admin1",2e-04,824.202152315027,1127.04170016689,1587.36124478143,0,0,0,0,0,0
"BFA","no-estimate","admin1",0.001,824.202152315027,1127.04170016689,1587.36124478143,0,0,0,0,0,0
"BFA","no-estimate","admin2",1e-04,819.212139506234,1081.14209508324,1384.42187364679,0,0,0,0,0,0
"BFA","no-estimate","admin2",2e-04,823.412107042144,1129.70791763147,1564.70774944662,0,0,0,0,0,0
"BFA","no-estimate","admin2",0.001,823.412107042144,1129.70791763147,1564.70774944662,0,0,0,0,0,0
"CAF","district-estimate","admin1",1e-04,859.200767775772,1508.42266365293,2407.39379750425,635.808568154071,1116.23277110317,1781.47141015314,170.905343119814,300.043368872532,478.859515049165
"CAF","district-estimate","admin1",2e-04,859.200767775772,1527.41773062018,2776.16955131447,635.808568154071,1130.28912065893,2054.36546797271,170.905343119814,303.821715633121,552.213437791064
"CAF","district-estimate","admin1",0.001,859.200767775772,1527.41773062018,3124.5769820096,635.808568154071,1130.28912065893,2312.1869666871,170.905343119814,303.821715633121,621.515856645494
"CAF","district-estimate","admin2",1e-04,724.05329285697,1382.42031671296,2035.95652102022,535.799436714158,1022.99103436759,1506.60782555496,144.022888588766,274.979990038008,404.976183509174
"CAF","district-estimate","admin2",2e-04,786.335824708236,1416.98322114485,2411.89564158499,581.888510284095,1048.56758364719,1784.80277477289,156.411631564365,281.854966484364,479.754985858954
"CAF","district-estimate","admin2",0.001,878.157263730004,1510.71156325599,2907.46308644072,649.836375160203,1117.92655680943,2151.52268396613,174.676017643063,300.498658470376,578.329297450096
"CAF","global-estimate","admin1",1e-04,859.707538636504,1520.25614809695,2409.93250867866,0,0,0,257.912261590951,456.076844429085,722.979752603598
"CAF","global-estimate","admin1",2e-04,843.368081076989,1538.81330531594,3375.43669061836,0,0,0,253.010424323097,461.643991594782,1012.63100718551
"CAF","global-estimate","admin1",0.001,859.200767775772,1527.41773062018,3124.5769820096,0,0,0,257.760230332732,458.225319186054,937.37309460288
"CAF","global-estimate","admin2",1e-04,728.439185381139,1389.50810953845,2062.7010477986,0,0,0,218.531755614342,416.852432861535,618.81031433958
"CAF","global-estimate","admin2",2e-04,495.117737443114,1378.18693049614,3148.56444192185,0,0,0,148.535321232934,413.456079148842,944.569332576555
"CAF","global-estimate","admin2",0.001,878.157263730005,1523.61000220092,2923.47188051079,0,0,0,263.447179119001,457.083000660276,877.041564153237
"CAF","no-estimate","admin1",1e-04,859.707538636504,1477.07725839988,2118.15019987976,0,0,0,0,0,0
"CAF","no-estimate","admin1",2e-04,859.707538636504,1528.44573334514,2379.91733254439,0,0,0,0,0,0
"CAF","no-estimate","admin1",0.001,859.707538636504,1528.44573334514,3121.14717997813,0,0,0,0,0,0
"CAF","no-estimate","admin2",1e-04,723.931690971202,1375.93657695536,1873.4215700925,0,0,0,0,0,0
"CAF","no-estimate","admin2",2e-04,723.931690971202,1384.18384053251,2015.48092984039,0,0,0,0,0,0
"CAF","no-estimate","admin2",0.001,878.624477948184,1504.24118045426,2732.02461975245,0,0,0,0,0,0
"CIV","district-estimate","admin1",1e-04,6397.75205831117,7005.13011280588,8046.80110301882,4734.33652315027,5183.79628347635,5954.63281623393,1272.58965742279,1393.40444099844,1600.60530100368
"CIV","district-estimate","admin1",2e-04,6632.67890310703,7474.49810177295,8244.63411601819,4908.1823882992,5531.12859531198,6101.02924585346,1319.31942597483,1486.76736641986,1639.95666128541
"CIV","district-estimate","admin1",0.001,6671.34689821251,7639.38558547199,8330.58185205508,4936.79670467726,5653.14533324927,6164.63057052076,1327.01095421725,1519.5654655774,1657.05269735598
"CIV","district-estimate","admin2",1e-04,5792.28251765849,6732.32082372513,8018.13140105122,4286.28906306728,4981.9174095566,5933.4172367779,1152.15450015249,1339.13939968881,1594.9025532459
"CIV","district-estimate","admin2",2e-04,6661.86866702485,7477.53520914459,8229.44117090849,4929.78281359839,5533.376054767,6089.78646647228,1325.12562029525,1487.37148352137,1636.93460218775
"CIV","district-estimate","admin2",0.001,6689.2204386882,7641.57141627921,8299.32255318544,4950.02312462927,5654.76284804662,6141.49868935723,1330.56621590035,1520.00025355493,1650.83484769922
"CIV","global-estimate","admin1",1e-04,6577.49486708012,7160.21380282911,8117.68692648297,0,0,0,1973.24846012404,2148.06414084873,2435.30607794489
"CIV","global-estimate","admin1",2e-04,6756.42709601058,7640.18594904011,8581.73775700237,0,0,0,2026.92812880317,2292.05578471203,2574.52132710071
"CIV","global-estimate","admin1",0.001,6671.34689821251,7639.38558547199,8330.58185205507,0,0,0,2001.40406946375,2291.8156756416,2499.17455561652
"CIV","global-estimate","admin2",1e-04,5834.57396303907,6854.39498706563,7958.46938292237,0,0,0,1750.37218891172,2056.31849611969,2387.54081487671
"CIV","global-estimate","admin2",2e-04,4447.45087168779,7612.60659720218,12422.0830454892,0,0,0,1334.23526150634,2283.78197916065,3726.62491364676
"CIV","global-estimate","admin2",0.001,6689.2204386882,7641.57141627921,8299.32255318544,0,0,0,2006.76613160646,2292.47142488376,2489.79676595563
"CIV","no-estimate","admin1",1e-04,5999.86651899155,6471.93894166999,7055.14194241595,0,0,0,0,0,0
"CIV","no-estimate","admin1",2e-04,6576.31241375741,7078.87695796317,7726.3093974031,0,0,0,0,0,0
"CIV","no-estimate","admin1",0.001,6743.4862069198,7710.66597987933,8415.3379018606,0,0,0,0,0,0
"CIV","no-estimate","admin2",1e-04,4949.16847349214,5618.30291136539,6402.68329444834,0,0,0,0,0,0
"CIV","no-estimate","admin2",2e-04,5774.09907758671,6697.62662881974,7601.77406446419,0,0,0,0,0,0
"CIV","no-estimate","admin2",0.001,6671.42364079545,7626.85967124505,8286.32936466152,0,0,0,0,0,0
"CMR","district-estimate","admin1",1e-04,107845.231273731,127726.713410949,152120.319592469,79805.4711425609,94517.7679241023,112569.036498427,21451.7106431204,25406.3760179987,30258.5570107772
"CMR","district-estimate","admin1",2e-04,129980.75704691,151397.776974435,177851.730919083,96185.7602147134,112034.354961082,131610.280880121,25854.732345715,30114.8346135388,35376.8435005766
"CMR","district-estimate","admin1",0.001,187453.679462178,221004.808322332,260697.262973667,138715.722802012,163543.558158526,192915.974600514,37286.7862891808,43960.5084330117,51855.8139726181
"CMR","district-estimate","admin2",1e-04,109471.6131324,127542.396787122,147360.951918549,81008.993717976,94381.3736224703,109047.104419726,21775.217511392,25369.71322972,29311.8616680224
"CMR","district-estimate","admin2",2e-04,125054.593947643,143543.539818971,159249.154960373,92540.3995212558,106222.219466039,117844.374670676,24874.8593913136,28552.5325924712,31676.5679114777
"CMR","district-estimate","admin2",0.001,174789.864675094,197210.218349415,231040.504530802,129344.49985957,145935.561578567,170969.973352793,34767.8015622523,39227.4789523188,45956.7288372309
"CMR","global-estimate","admin1",1e-04,111372.734667468,131808.887028955,154918.717987088,0,0,0,33411.8204002404,39542.6661086865,46475.6153961264
"CMR","global-estimate","admin1",2e-04,137729.239842225,163352.264157388,192460.2774238,0,0,0,41318.7719526675,49005.6792472164,57738.08322714
"CMR","global-estimate","admin1",0.001,187453.679462178,226466.991359357,264723.250356355,0,0,0,56236.1038386534,67940.0974078071,79416.9751069065
"CMR","global-estimate","admin2",1e-04,112554.6268955,132119.513752075,149985.429204934,0,0,0,33766.38806865,39635.8541256225,44995.6287614802
"CMR","global-estimate","admin2",2e-04,101266.618416143,142440.856069385,231077.882842512,0,0,0,30379.9855248429,42732.2568208155,69323.3648527536
"CMR","global-estimate","admin2",0.001,185379.923616459,205138.797849499,236515.661188941,0,0,0,55613.9770849377,61541.6393548497,70954.6983566823
"CMR","no-estimate","admin1",1e-04,97430.776114762,118587.492039219,135912.646647287,0,0,0,0,0,0
"CMR","no-estimate","admin1",2e-04,106835.635044184,126186.093014722,146327.499222643,0,0,0,0,0,0
"CMR","no-estimate","admin1",0.001,173968.482829301,199663.685285932,236184.409362969,0,0,0,0,0,0
"CMR","no-estimate","admin2",1e-04,99225.9164462767,118330.86328479,132455.964944388,0,0,0,0,0,0
"CMR","no-estimate","admin2",2e-04,108051.413647109,127869.57070284,140961.340083973,0,0,0,0,0,0
"CMR","no-estimate","admin2",0.001,158150.592665598,168005.465312691,181089.812057156,0,0,0,0,0,0
"COD","district-estimate","admin1",1e-04,291533.849760454,322177.205557585,363655.246923525,215735.048822736,238411.132112613,269104.882723409,57989.5811235514,64084.9123118703,72335.3924760522
"COD","district-estimate","admin1",2e-04,349790.867177796,385005.708115746,433057.996932381,258845.241711569,284904.224005652,320462.917729962,69577.6009720698,76582.2554127193,86140.4322858138
"COD","district-estimate","admin1",0.001,508725.342911745,557795.480147709,623593.453500293,376456.753754691,412768.655309305,461459.155590217,101191.575409261,110952.214547141,124040.22102265
"COD","district-estimate","admin2",1e-04,291176.020678557,314038.80195584,344828.316069136,215470.255302132,232388.713447322,255172.953891161,57918.4046252131,62466.0861746401,68590.490005944
"COD","district-estimate","admin2",2e-04,319531.632120317,343424.823041847,376351.512408881,236453.407769035,254134.369050967,278500.119182572,63558.6760083165,68311.3184008999,74860.8320362753
"COD","district-estimate","admin2",0.001,406281.370600655,440891.448628669,481738.956399011,300648.214244485,326259.671985215,356486.827735268,80814.2399889175,87698.5998296258,95823.6592952401
"COD","global-estimate","admin1",1e-04,307964.499485764,332468.112565213,372996.326717291,0,0,0,92389.3498457292,99740.4337695639,111898.898015187
"COD","global-estimate","admin1",2e-04,386337.132033282,422388.130784908,498426.640224823,0,0,0,115901.139609985,126716.439235472,149527.992067447
"COD","global-estimate","admin1",0.001,508715.506059791,561308.341630641,641484.328418574,0,0,0,152614.651817937,168392.502489192,192445.298525572
"COD","global-estimate","admin2",1e-04,299447.981029757,319951.476521392,349130.26614496,0,0,0,89834.3943089271,95985.4429564176,104739.079843488
"COD","global-estimate","admin2",2e-04,268721.079867906,349879.315999025,477576.265238925,0,0,0,80616.3239603718,104963.794799707,143272.879571678
"COD","global-estimate","admin2",0.001,420263.678174471,452003.861696519,490772.103908393,0,0,0,126079.103452341,135601.158508956,147231.631172518
"COD","no-estimate","admin1",1e-04,272213.645636123,296682.540425371,341228.180113853,0,0,0,0,0,0
"COD","no-estimate","admin1",2e-04,294414.107585023,322212.606887559,354886.772904639,0,0,0,0,0,0
"COD","no-estimate","admin1",0.001,469038.70637658,507973.374462299,549786.599441433,0,0,0,0,0,0
"COD","no-estimate","admin2",1e-04,277223.969004396,297427.323737724,330123.728510553,0,0,0,0,0,0
"COD","no-estimate","admin2",2e-04,290500.336975621,310813.667784193,340942.065869244,0,0,0,0,0,0
"COD","no-estimate","admin2",0.001,367132.330492697,394202.956986039,424384.072113433,0,0,0,0,0,0
"COG","district-estimate","admin1",1e-04,9365.03847799117,13048.2974182921,27647.565112869,6930.12847371346,9655.74008953616,20459.1981835231,1862.81853373418,2595.46293606732,5499.432471731
"COG","district-estimate","admin1",2e-04,12565.7964687578,17097.9317155392,28403.6394881295,9298.68938688077,12652.469469499,21018.6932212158,2499.48770719355,3400.98379340133,5649.82473786281
"COG","district-estimate","admin1",0.001,16107.4069719793,24391.7920379951,52804.3995720975,11919.4811592647,18049.9261081164,39075.2556833522,3203.95653561035,4851.82013786168,10503.4287276851
"COG","district-estimate","admin2",1e-04,9357.24164105823,12591.3870610015,27083.670381582,6924.35881438309,9317.62642514111,20041.9160823707,1861.26764930617,2504.57798307793,5387.26704294124
"COG","district-estimate","admin2",2e-04,11116.55509668,14374.1516883074,29750.9461968835,8226.2507715432,10636.8722493475,22015.7001856938,2211.21620739081,2859.1912606246,5917.82020991449
"COG","district-estimate","admin2",0.001,14613.1408970543,19494.5922132956,45139.4796010299,10813.7242638202,14425.9982378387,33403.2149047621,2906.72908211487,3877.70832633105,8978.78416640006
"COG","global-estimate","admin1",1e-04,10749.7907405241,13708.0887221957,27657.2439318252,0,0,0,3224.93722215723,4112.42661665871,8297.17317954756
"COG","global-estimate","admin1",2e-04,13225.0134733591,19002.0211981337,33132.2563416015,0,0,0,3967.50404200773,5700.60635944011,9939.67690248045
"COG","global-estimate","admin1",0.001,16107.4069719792,24391.7920379951,53771.4470761322,0,0,0,4832.22209159376,7317.53761139853,16131.4341228397
"COG","global-estimate","admin2",1e-04,9552.08003727511,13396.1203654734,27089.5341434644,0,0,0,2865.62401118253,4018.83610964202,8126.86024303932
