"ISO","confirmation_lens","admin_level","threshold","total_cost_lb","total_cost_median","total_cost_ub"
"AGO","district-estimate","admin1",1e-04,17493285.0201468,29842533.9911636,54617869.8126275
"AGO","district-estimate","admin1",2e-04,7708722.46293449,15688093.425301,34101582.9449932
"AGO","district-estimate","admin1",0.001,163484.761553084,218359.7891634,3835791.1506567
"AGO","district-estimate","admin2",1e-04,16110930.3285549,24397950.1806634,36161271.5597012
"AGO","district-estimate","admin2",2e-04,9116521.60074208,15734151.3903001,23724580.4779503
"AGO","district-estimate","admin2",0.001,486259.829970268,2258991.64689791,5068267.35902691
"AGO","global-estimate","admin1",1e-04,14657102.1443095,25646882.529373,42426499.0159435
"AGO","global-estimate","admin1",2e-04,160986.391731023,11833859.063125,18188689.312415
"AGO","global-estimate","admin1",0.001,159722.838212858,212810.742026805,237427.140392772
"AGO","global-estimate","admin2",1e-04,15331758.0177275,22417811.6256598,28821580.2746402
"AGO","global-estimate","admin2",2e-04,4554277.73188765,11006936.3227924,19125779.8572817
"AGO","global-estimate","admin2",0.001,185826.993432146,1335427.91176362,3836719.58508375
"AGO","no-estimate","admin1",1e-04,19767221.3654551,59595041.4821646,66402023.7219458
"AGO","no-estimate","admin1",2e-04,17374552.6053897,29797877.7589177,45588569.0702773
"AGO","no-estimate","admin1",0.001,0,3637937.74988776,8165021.35235533
"AGO","no-estimate","admin2",1e-04,22424243.6120208,31244479.5676895,45552153.9278821
"AGO","no-estimate","admin2",2e-04,16107939.7524413,24340204.0821526,31935727.5495332
"AGO","no-estimate","admin2",0.001,1810863.28280105,7816715.68390992,10817336.3883996
"BDI","district-estimate","admin1",1e-04,57050.7720013184,6639805.7432317,13976275.4585782
"BDI","district-estimate","admin1",2e-04,49324.9868358168,52370.4740280054,1986034.9913193
"BDI","district-estimate","admin1",0.001,49324.9868358168,52175.1856805079,55666.2383345971
"BDI","district-estimate","admin2",1e-04,7868789.43757279,9877044.17055456,11277551.4537884
"BDI","district-estimate","admin2",2e-04,2682278.56144643,4875032.95062716,7172561.96315656
"BDI","district-estimate","admin2",0.001,46409.8515505943,48678.5211794275,51192.8202802576
"BDI","global-estimate","admin1",1e-04,51313.6870665191,4288763.54484818,7224339.06750757
"BDI","global-estimate","admin1",2e-04,47526.3487269885,51568.7075109138,60012.5679584381
"BDI","global-estimate","admin1",0.001,48189.9769580079,50974.5903043548,54385.3108691619
"BDI","global-estimate","admin2",1e-04,7540425.03208529,8700066.67266056,9835334.62741376
"BDI","global-estimate","admin2",2e-04,831803.428882619,3084647.96724176,5437224.0196924
"BDI","global-estimate","admin2",0.001,45341.921413828,47558.3870259266,50014.8299670641
"BDI","no-estimate","admin1",1e-04,23535803.4980549,26812003.9909679,33789967.1970954
"BDI","no-estimate","admin1",2e-04,3994427.08599513,6931450.00955151,10763417.8512575
"BDI","no-estimate","admin1",0.001,0,0,0
"BDI","no-estimate","admin2",1e-04,12930129.6735007,13888085.3286865,15009827.8466956
"BDI","no-estimate","admin2",2e-04,8512341.74196113,9441637.45482101,10460644.3480897
"BDI","no-estimate","admin2",0.001,0,0,330552.0172284
"BEN","district-estimate","admin1",1e-04,28566.5606962401,35199.5710284693,41249.6970130303
"BEN","district-estimate","admin1",2e-04,28566.5606962401,35199.5710284693,41175.4576145587
"BEN","district-estimate","admin1",0.001,28566.5606962401,35199.5710284693,41175.4576145587
"BEN","district-estimate","admin2",1e-04,1141257.52409424,2372949.7585145,5093886.56917788
"BEN","district-estimate","admin2",2e-04,29620.7249845188,1156019.50379318,2033446.43983363
"BEN","district-estimate","admin2",0.001,29556.3499303726,35334.7027058891,39986.3143932265
"BEN","global-estimate","admin1",1e-04,27905.576348547,34375.2234735645,40225.1770283563
"BEN","global-estimate","admin1",2e-04,27729.4507310527,33932.0928547645,41173.4037756165
"BEN","global-estimate","admin1",0.001,27909.2198504496,34389.5989762732,40227.9753319706
"BEN","global-estimate","admin2",1e-04,795892.285065107,2012389.47406532,2941021.73066246
"BEN","global-estimate","admin2",2e-04,21464.8389915249,762055.703823184,1714243.49486686
"BEN","global-estimate","admin2",0.001,28876.2331928941,34521.6211589214,39066.1953070409
"BEN","no-estimate","admin1",1e-04,0,6881807.25320491,16298317.9004939
"BEN","no-estimate","admin1",2e-04,0,0,0
"BEN","no-estimate","admin1",0.001,0,0,0
"BEN","no-estimate","admin2",1e-04,11197631.9859988,13813101.9391241,16674050.0445997
"BEN","no-estimate","admin2",2e-04,1520320.85315047,2337914.95364963,3568599.03113846
"BEN","no-estimate","admin2",0.001,0,0,778219.998525125
"BFA","district-estimate","admin1",1e-04,3289.29431340233,4496.72553221428,6328.746830304
"BFA","district-estimate","admin1",2e-04,3289.29431340233,4496.72553221428,6328.746830304
"BFA","district-estimate","admin1",0.001,3289.29431340233,4496.72553221428,6328.746830304
"BFA","district-estimate","admin2",1e-04,3287.14520236777,4510.07389271433,6342.70631095794
"BFA","district-estimate","admin2",2e-04,3287.14520236777,4510.07389271433,6246.73534404671
"BFA","district-estimate","admin2",0.001,3287.14520236777,4510.07389271433,6246.73534404671
"BFA","global-estimate","admin1",1e-04,3214.3883940286,4395.46263065088,6190.70885464758
"BFA","global-estimate","admin1",2e-04,3169.10648181294,4404.80717002612,6327.26234315318
"BFA","global-estimate","admin1",0.001,3213.60485505216,4393.2520550931,6183.11698572934
"BFA","global-estimate","admin2",1e-04,3211.30721746436,4405.86087876273,6102.3602228418
"BFA","global-estimate","admin2",2e-04,2248.8425337245,4366.72157449921,8599.37805527766
"BFA","global-estimate","admin2",0.001,3211.50519688944,4406.29325847072,6102.99265348803
"BFA","no-estimate","admin1",1e-04,0,0,0
"BFA","no-estimate","admin1",2e-04,0,0,0
"BFA","no-estimate","admin1",0.001,0,0,0
"BFA","no-estimate","admin2",1e-04,0,0,2578898.15485652
"BFA","no-estimate","admin2",2e-04,0,0,0
"BFA","no-estimate","admin2",0.001,0,0,0
"CAF","district-estimate","admin1",1e-04,3429.80574005032,6097.23163248255,3140782.325742
"CAF","district-estimate","admin1",2e-04,3429.80574005032,6097.23163248255,2112104.87352478
"CAF","district-estimate","admin1",0.001,3429.80574005032,6097.23163248255,12472.8613730969
"CAF","district-estimate","admin2",1e-04,189370.667618514,299117.49362357,2088603.57985421
"CAF","district-estimate","admin2",2e-04,6025.20814628917,201295.470203832,1494343.3103297
"CAF","district-estimate","admin2",0.001,3505.4773421642,6145.22874962995,202842.654916724
"CAF","global-estimate","admin1",1e-04,3352.85940068236,5960.93836004605,2135174.41120578
"CAF","global-estimate","admin1",2e-04,3289.13551620026,6001.37189073219,2114004.05726805
"CAF","global-estimate","admin1",0.001,3350.88299432551,5956.92914941871,12185.8502298375
"CAF","global-estimate","admin2",1e-04,189072.469466228,298951.579938042,2075207.40590506
"CAF","global-estimate","admin2",2e-04,2129.35103818664,190831.926767285,1443152.01696416
"CAF","global-estimate","admin2",0.001,3424.81332854702,5942.0790085836,93800.9794201147
"CAF","no-estimate","admin1",1e-04,0,0,3109424.64384357
"CAF","no-estimate","admin1",2e-04,0,0,2037465.98386449
"CAF","no-estimate","admin1",0.001,0,0,0
"CAF","no-estimate","admin2",1e-04,292889.970664587,292889.970664587,2511821.34650261
"CAF","no-estimate","admin2",2e-04,290212.297138177,292889.970664587,2082138.901691
"CAF","no-estimate","admin2",0.001,0,0,197357.30031648
"CIV","district-estimate","admin1",1e-04,26794.2172261248,2755717.77491819,4299323.22319835
"CIV","district-estimate","admin1",2e-04,26631.056143711,30839.7083946311,2938716.1545795
"CIV","district-estimate","admin1",0.001,26631.056143711,30495.3271856799,33254.4831496172
"CIV","district-estimate","admin2",1e-04,26705.3705381123,3732107.21648546,6851460.29697072
"CIV","district-estimate","admin2",2e-04,26702.4047435001,30843.7893474563,2938991.1345739
"CIV","district-estimate","admin2",0.001,26702.4047435001,30504.0527075027,33129.7005298686
"CIV","global-estimate","admin1",1e-04,26299.5962069872,2756219.97824879,2940067.98761264
"CIV","global-estimate","admin1",2e-04,26365.2588127905,29809.2638051296,33764.2657293067
"CIV","global-estimate","admin1",0.001,26018.2529030288,29793.6037833408,32489.2692230148
"CIV","global-estimate","admin2",1e-04,26018.5521991023,2900177.54047209,6851394.81111498
"CIV","global-estimate","admin2",2e-04,17345.0583995824,30411.1589101363,2938782.3197605
"CIV","global-estimate","admin2",0.001,26087.959710884,29802.1285234889,32367.3579574232
"CIV","no-estimate","admin1",1e-04,4200410.86235764,7910500.87969389,11423543.0122723
"CIV","no-estimate","admin1",2e-04,0,2727979.63744171,2873053.9595855
"CIV","no-estimate","admin1",0.001,0,0,0
"CIV","no-estimate","admin2",1e-04,7227778.14912697,10127366.2242798,15005437.5490685
"CIV","no-estimate","admin2",2e-04,0,2873053.9595855,6777106.87693263
"CIV","no-estimate","admin2",0.001,0,0,0
"CMR","district-estimate","admin1",1e-04,122796764.928367,156649026.068959,193302900.426986
"CMR","district-estimate","admin1",2e-04,72779537.7106276,88902401.0482973,119245264.872032
"CMR","district-estimate","admin1",0.001,748288.095083171,927349.473567617,21996346.6061021
"CMR","district-estimate","admin2",1e-04,92763601.5942631,120674002.300278,141576741.435457
"CMR","district-estimate","admin2",2e-04,56943852.3192661,67473073.6532685,82024053.8515468
"CMR","district-estimate","admin2",0.001,772916.645869691,13871119.7839743,22874148.9137005
"CMR","global-estimate","admin1",1e-04,95626117.5579494,139104116.930699,187228117.192508
"CMR","global-estimate","admin1",2e-04,37327617.1426134,74343493.1394896,95950666.7563111
"CMR","global-estimate","admin1",0.001,731069.349902494,883221.266301492,1038343.72054425
"CMR","global-estimate","admin2",1e-04,77144988.4768424,106506052.34865,126777921.59863
"CMR","global-estimate","admin2",2e-04,27327581.8784137,51635239.6004778,71544193.2575874
"CMR","global-estimate","admin2",0.001,740008.633260628,5939649.2187815,20979553.6006268
"CMR","no-estimate","admin1",1e-04,180185624.770644,210062467.025372,231582634.502997
"CMR","no-estimate","admin1",2e-04,136948007.67504,155280735.408465,197642804.802322
"CMR","no-estimate","admin1",0.001,5852714.48084881,25825929.6607227,33020576.0240226
"CMR","no-estimate","admin2",1e-04,159846534.430111,167805558.003315,173566962.199037
"CMR","no-estimate","admin2",2e-04,112917308.895034,122976736.069101,130613453.791357
"CMR","no-estimate","admin2",0.001,20878243.0225421,31339052.664796,40006160.239736
"COD","district-estimate","admin1",1e-04,360115937.854774,404533627.537108,452824465.862144
"COD","district-estimate","admin1",2e-04,199454389.645189,263745463.479388,326950721.345444
"COD","district-estimate","admin1",0.001,2031163.48296732,2249678.07046199,34221247.3918283
"COD","district-estimate","admin2",1e-04,201327766.513582,221011222.767833,245989402.101811
"COD","district-estimate","admin2",2e-04,122918160.748997,141568684.375532,158610817.699674
"COD","district-estimate","admin2",0.001,19889330.1216472,31498007.23862,45232187.554705
"COD","global-estimate","admin1",1e-04,328951286.506086,388494091.585623,413082014.1868
"COD","global-estimate","admin1",2e-04,87020054.8997448,186865233.018799,259608792.261835
"COD","global-estimate","admin1",0.001,1983990.47363318,2189102.5323595,16621370.4772148
"COD","global-estimate","admin2",1e-04,166639691.192039,195637962.298883,224628597.175786
"COD","global-estimate","admin2",2e-04,73321649.3562322,107747058.299898,139309356.638704
"COD","global-estimate","admin2",0.001,14480409.2382343,26038818.429662,36443388.7283656
"COD","no-estimate","admin1",1e-04,455240011.206128,482626282.749623,501024834.288398
"COD","no-estimate","admin1",2e-04,386731417.520155,393548499.717343,432289905.833606
"COD","no-estimate","admin1",0.001,32914033.3292343,53635725.2172985,84790742.8111046
"COD","no-estimate","admin2",1e-04,266575630.313035,290133619.089121,310509480.791672
"COD","no-estimate","admin2",2e-04,208352159.563384,225018534.228279,244037463.169142
"COD","no-estimate","admin2",0.001,53006383.4480157,58013216.3490381,75972207.6636608
"COG","district-estimate","admin1",1e-04,14590706.2151987,20299544.2524181,22420471.816654
"COG","district-estimate","admin1",2e-04,3826954.6585983,14664444.430774,20487251.989888
"COG","district-estimate","admin1",0.001,64298.4491655372,97368.5213976229,5128639.66484052
"COG","district-estimate","admin2",1e-04,8326070.69021459,13354805.3210581,21088566.5849571
"COG","district-estimate","admin2",2e-04,3182461.2167112,9439033.72424432,19477738.3834938
"COG","district-estimate","admin2",0.001,69872.1020622113,1562741.20540433,4851996.96940267
"COG","global-estimate","admin1",1e-04,14584824.8527595,20280719.2584118,20523059.9287
"COG","global-estimate","admin1",2e-04,73743.7765274991,11404302.5124033,18498729.7569985
"COG","global-estimate","admin1",0.001,62818.887190719,95127.9889481808,209708.643596916
"COG","global-estimate","admin2",1e-04,9431682.32015097,11312324.0988222,21088621.0933848
"COG","global-estimate","admin2",2e-04,2337598.90698481,6899576.0514761,17034596.7812768
"COG","global-estimate","admin2",0.001,67062.1359376571,1616939.16205327,2490853.44695272
"COG","no-estimate","admin1",1e-04,22141348.1941999,22141348.1941999,22141348.1941999
"COG","no-estimate","admin1",2e-04,14540828.2700654,20189861.4041037,20466072.4951042
"COG","no-estimate","admin1",0.001,0,0,10199374.3261186
"COG","no-estimate","admin2",1e-04,13307835.3948022,13625078.0139865,20915781.131585
"COG","no-estimate","admin2",2e-04,11219011.141127,13396027.4451298,20959444.3667777
"COG","no-estimate","admin2",0.001,1473887.9770972,2295664.9816971,9298741.27057205
"ETH","district-estimate","admin1",1e-04,469919.72733048,44579378.9808393,69942824.6553289
"ETH","district-estimate","admin1",2e-04,457231.036462443,521144.324662633,47346827.3021284
"ETH","district-estimate","admin1",0.001,457231.036462443,503547.24063681,565399.272984524
"ETH","district-estimate","admin2",1e-04,33306445.4599463,74209730.150586,106301023.717365
"ETH","district-estimate","admin2",2e-04,12527329.0635853,40367474.6384012,65750355.8039405
"ETH","district-estimate","admin2",0.001,460602.90483791,513344.043140314,8732779.46864954
"ETH","global-estimate","admin1",1e-04,459435.402219199,44560354.2190647,47327416.4374128
"ETH","global-estimate","admin1",2e-04,433813.043376224,492753.534437663,21967005.1527052
"ETH","global-estimate","admin1",0.001,446709.761625552,491960.190568888,552388.955072439
"ETH","global-estimate","admin2",1e-04,24064197.3321781,64707238.8956836,97211367.2888029
"ETH","global-estimate","admin2",2e-04,1130180.26618926,21854058.984726,59724277.023581
"ETH","global-estimate","admin2",0.001,448584.897619073,492426.27386673,8278261.13288232
"ETH","no-estimate","admin1",1e-04,68356273.2102386,149883507.781261,246528055.758044
"ETH","no-estimate","admin1",2e-04,0,44105231.9037975,46308407.008859
"ETH","no-estimate","admin1",0.001,0,0,0
"ETH","no-estimate","admin2",1e-04,92934849.725718,123887094.719691,160594704.665108
"ETH","no-estimate","admin2",2e-04,41058467.0037374,71132263.2740076,101373495.827753
"ETH","no-estimate","admin2",0.001,0,7820133.43115155,13871003.3615103
"GHA","district-estimate","admin1",1e-04,115035008.316078,142112525.271911,161179827.907241
"GHA","district-estimate","admin1",2e-04,48724670.0338195,74757005.0647697,94343526.0342964
"GHA","district-estimate","admin1",0.001,648202.981275555,738643.775422982,835089.709517661
"GHA","district-estimate","admin2",1e-04,91852656.2749036,100076674.375228,107781854.374916
"GHA","district-estimate","admin2",2e-04,52487223.7472306,66847686.6690031,76917100.4476955
"GHA","district-estimate","admin2",0.001,4503780.57850293,7400682.0738754,11585350.4616204
"GHA","global-estimate","admin1",1e-04,94018613.3198554,115067844.601865,152908104.872882
"GHA","global-estimate","admin1",2e-04,48672064.8698808,49525863.523991,74762071.5465567
"GHA","global-estimate","admin1",0.001,633287.279645023,721646.954236233,815873.585399593
"GHA","global-estimate","admin2",1e-04,83054269.2521718,89154989.3755347,99165408.6374395
"GHA","global-estimate","admin2",2e-04,24046301.6056381,45851692.6505043,64558343.342143
"GHA","global-estimate","admin2",0.001,4128344.75088709,4924615.09692977,5455899.26915725
"GHA","no-estimate","admin1",1e-04,167131557.060016,188614381.064809,199362685.198913
"GHA","no-estimate","admin1",2e-04,123315970.475434,141598612.615014,152884887.472851
"GHA","no-estimate","admin1",0.001,0,13853812.2673619,31909065.882356
"GHA","no-estimate","admin2",1e-04,124109776.026672,127319876.711701,130192138.327859
"GHA","no-estimate","admin2",2e-04,96196646.4357094,100552129.933702,105144269.474431
"GHA","no-estimate","admin2",0.001,20595418.9953184,21321751.4486185,22008595.2668565
"GIN","district-estimate","admin1",1e-04,23401636.9825771,38231684.5967039,51622026.1076845
"GIN","district-estimate","admin1",2e-04,12376276.1801637,26611449.7514928,35576450.5691398
"GIN","district-estimate","admin1",0.001,157622.162927168,201424.25899355,216904.618635544
"GIN","district-estimate","admin2",1e-04,27027807.3184296,34284933.5085268,37160049.5975854
"GIN","district-estimate","admin2",2e-04,13187512.4935646,24119270.3959632,32244167.4688238
"GIN","district-estimate","admin2",0.001,153805.222539428,196436.191872706,208472.550883572
"GIN","global-estimate","admin1",1e-04,19235746.2151407,34172964.057831,43225829.6938129
"GIN","global-estimate","admin1",2e-04,6032219.76749477,12580208.7003792,28353642.3387083
"GIN","global-estimate","admin1",0.001,153995.142965065,196789.315565202,211913.458972123
"GIN","global-estimate","admin2",1e-04,22005543.5922119,33301420.9823607,36897083.4809543
"GIN","global-estimate","admin2",2e-04,872805.009960162,18116694.1787817,30124849.0259273
"GIN","global-estimate","admin2",0.001,150266.033620393,191916.028109118,203675.420267147
"GIN","no-estimate","admin1",1e-04,42497289.9333855,50694768.7580455,55667853.5645404
"GIN","no-estimate","admin1",2e-04,26469493.2963477,34047023.0060817,46754641.2925975
"GIN","no-estimate","admin1",0.001,0,0,0
"GIN","no-estimate","admin2",1e-04,36738962.0071639,40881643.8997742,44663593.6111548
"GIN","no-estimate","admin2",2e-04,30185456.949433,34563398.5052256,36849820.1382912
"GIN","no-estimate","admin2",0.001,0,0,3009643.895338
"GNB","district-estimate","admin1",1e-04,4840674.46796399,6957897.04477547,9172822.64822952
"GNB","district-estimate","admin1",2e-04,1483920.00957597,4850594.11198523,5037338.95448517
"GNB","district-estimate","admin1",0.001,39209.2906969349,189681.661292212,267443.945347242
"GNB","district-estimate","admin2",1e-04,5031499.10488359,7020375.17992573,7759480.96437692
"GNB","district-estimate","admin2",2e-04,1364415.84921955,4347708.30298281,5208103.44303537
"GNB","district-estimate","admin2",0.001,102910.744934546,426823.423036032,493320.056571485
"GNB","global-estimate","admin1",1e-04,4838260.10630283,5351251.23848202,7883678.01906857
"GNB","global-estimate","admin1",2e-04,1479057.35987622,3503468.29350458,5033995.92758393
"GNB","global-estimate","admin1",0.001,38167.3090642019,262021.006839459,267511.795446285
"GNB","global-estimate","admin2",1e-04,4517174.35563412,5566787.41470684,7872111.61568878
"GNB","global-estimate","admin2",2e-04,597072.818240827,2457061.30960751,4992561.14091497
"GNB","global-estimate","admin2",0.001,100676.050546152,440228.589719946,464416.435021305
"GNB","no-estimate","admin1",1e-04,9522500.61594186,10596914.3093823,11356954.7712764
"GNB","no-estimate","admin1",2e-04,6316152.31620131,7028600.81396698,8586516.99033291
"GNB","no-estimate","admin1",0.001,712719.826285808,807574.911690985,1520821.60727255
"GNB","no-estimate","admin2",1e-04,7891903.28996045,8447217.87654485,9195362.88421398
"GNB","no-estimate","admin2",2e-04,6462650.9267728,7205841.37681941,7917876.49439406
"GNB","no-estimate","admin2",0.001,572586.9320121,572586.9320121,741235.878865533
"KEN","district-estimate","admin1",1e-04,67849744.5675796,92838245.1559885,111991552.451938
"KEN","district-estimate","admin1",2e-04,37064982.6738034,58086593.8483387,77198435.5410244
"KEN","district-estimate","admin1",0.001,509711.376534842,753039.503102996,18573645.6320058
"KEN","district-estimate","admin2",1e-04,49835739.9189231,58662122.7041397,66026872.7320866
"KEN","district-estimate","admin2",2e-04,30546869.9737102,36790736.7529208,46809368.3695291
"KEN","district-estimate","admin2",0.001,5319037.00953105,9535104.76094759,14083587.1252174
"KEN","global-estimate","admin1",1e-04,62785928.2099122,81810662.0687605,100422593.80494
"KEN","global-estimate","admin1",2e-04,30299387.9547883,49065394.2073643,68239730.2549009
"KEN","global-estimate","admin1",0.001,497982.484459831,675792.597136375,6485408.78426632
"KEN","global-estimate","admin2",1e-04,41378359.6117451,49854749.4876327,59968516.0520466
"KEN","global-estimate","admin2",2e-04,20330369.2082802,29652224.7635373,39512677.5578492
"KEN","global-estimate","admin2",0.001,3498267.9502759,8390089.76759302,11878340.0271691
"KEN","no-estimate","admin1",1e-04,118191121.152304,136035098.750089,157575681.854335
"KEN","no-estimate","admin1",2e-04,74608620.5921977,95086332.0817627,110099625.613702
"KEN","no-estimate","admin1",0.001,9944615.9656388,21861295.1666223,30287080.2793004
"KEN","no-estimate","admin2",1e-04,86433171.7030293,96083480.5389729,105454625.927632
"KEN","no-estimate","admin2",2e-04,48993890.6499079,55792128.8690466,62312634.7181687
"KEN","no-estimate","admin2",0.001,14924140.623736,17728092.2362461,22796504.7687638
"LBR","district-estimate","admin1",1e-04,2764102.26331117,4320098.46283631,7881588.01205871
"LBR","district-estimate","admin1",2e-04,1849695.96697815,2849438.65089233,5708099.99603129
"LBR","district-estimate","admin1",0.001,22489.8830286442,34200.6313529922,1962937.40830977
"LBR","district-estimate","admin2",1e-04,1555153.34600732,3067773.69749705,7377676.58408325
"LBR","district-estimate","admin2",2e-04,1181013.47301599,2041755.33462266,4009485.29505838
"LBR","district-estimate","admin2",0.001,25201.4743632711,604145.451918927,1400280.43018141
"LBR","global-estimate","admin1",1e-04,2587433.76192812,4317746.37712874,7873801.15668031
"LBR","global-estimate","admin1",2e-04,33437.4064454292,2850434.02681625,4719655.8682835
"LBR","global-estimate","admin1",0.001,21972.3717017128,32401.1245937851,49978.8634823878
"LBR","global-estimate","admin2",1e-04,1381935.23987521,2522674.5172853,5865092.1359078
"LBR","global-estimate","admin2",2e-04,496376.900736164,1793621.52623312,3765191.36418702
"LBR","global-estimate","admin2",0.001,22553.3581161072,156249.221120805,1230941.4871667
"LBR","no-estimate","admin1",1e-04,2750609.21683791,6462908.19276207,14808139.3401406
"LBR","no-estimate","admin1",2e-04,2750609.21683791,4298983.60643273,7847547.01860114
"LBR","no-estimate","admin1",0.001,0,624580.64785576,2878871.02463691
"LBR","no-estimate","admin2",1e-04,1618710.24845555,3891908.28757828,10452517.346531
"LBR","no-estimate","admin2",2e-04,1546793.28347776,2946888.7979391,6274944.75093705
"LBR","no-estimate","admin2",0.001,157608.828939289,1320216.55692982,2550630.17015616
"MDG","district-estimate","admin1",1e-04,10808.4756044578,15318.4636614399,27332.309688587
"MDG","district-estimate","admin1",2e-04,10808.4756044578,15318.4636614399,27332.309688587
"MDG","district-estimate","admin1",0.001,10808.4756044578,15318.4636614399,27332.309688587
"MDG","district-estimate","admin2",1e-04,10918.9261341177,15269.5469882551,31399.4199420453
"MDG","district-estimate","admin2",2e-04,10918.9261341177,15211.5670072404,27268.5710318104
"MDG","district-estimate","admin2",0.001,10918.9261341177,15211.5670072404,27268.5710318104
"MDG","global-estimate","admin1",1e-04,10561.8982979146,14962.1329334425,26697.2830180987
"MDG","global-estimate","admin1",2e-04,10625.0589250806,14993.9956066987,26763.5461742067
"MDG","global-estimate","admin1",0.001,10559.7633926137,14965.9727905054,26703.370007708
"MDG","global-estimate","admin2",1e-04,10668.9373862963,14862.6300452874,26645.4539542855
"MDG","global-estimate","admin2",2e-04,5999.84500490574,14995.8379914987,35882.4254029132
"MDG","global-estimate","admin2",0.001,10667.6723616931,14861.5359191909,26641.0980316075
"MDG","no-estimate","admin1",1e-04,0,0,0
"MDG","no-estimate","admin1",2e-04,0,0,0
"MDG","no-estimate","admin1",0.001,0,0,0
"MDG","no-estimate","admin2",1e-04,0,0,8710446.11008467
"MDG","no-estimate","admin2",2e-04,0,0,0
"MDG","no-estimate","admin2",0.001,0,0,0
"MLI","district-estimate","admin1",1e-04,40307.598605755,2644731.52045993,12640327.6428604
"MLI","district-estimate","admin1",2e-04,39981.2341444926,45306.9380697683,55158.0417891601
"MLI","district-estimate","admin1",0.001,39981.2341444926,45306.9380697683,55158.0417891601
"MLI","district-estimate","admin2",1e-04,4653103.80737309,9423404.85505214,13859452.7036313
"MLI","district-estimate","admin2",2e-04,41283.7645971323,1375183.84225352,4059527.39715148
"MLI","district-estimate","admin2",0.001,41145.5693079344,45107.8342332173,52206.2499322908
"MLI","global-estimate","admin1",1e-04,39063.0274379707,44503.3079853915,7042611.72601992
"MLI","global-estimate","admin1",2e-04,36758.5996707709,44717.6072708164,3207599.43367192
"MLI","global-estimate","admin1",0.001,39061.2319591491,44264.3869097724,53888.8083582486
"MLI","global-estimate","admin2",1e-04,2057674.76205076,5704373.4488525,10297511.5034604
"MLI","global-estimate","admin2",2e-04,29208.1789683645,948199.137988991,3413612.76117051
"MLI","global-estimate","admin2",0.001,40198.7747806895,44069.8646217568,51004.9397412968
"MLI","no-estimate","admin1",1e-04,11853239.9485338,11853239.9485338,24476743.1283778
"MLI","no-estimate","admin1",2e-04,0,0,9603423.7288147
"MLI","no-estimate","admin1",0.001,0,0,0
"MLI","no-estimate","admin2",1e-04,17888351.1503885,20538418.1405406,23019083.7780767
"MLI","no-estimate","admin2",2e-04,5958238.81864064,8838162.84836322,11796669.4319852
"MLI","no-estimate","admin2",0.001,0,0,0
"MOZ","district-estimate","admin1",1e-04,14403512.7735788,31000543.3234733,108042209.103598
"MOZ","district-estimate","admin1",2e-04,199229.335096858,328123.178469197,30010240.0725586
"MOZ","district-estimate","admin1",0.001,199229.335096858,244076.42573031,385378.605437023
"MOZ","district-estimate","admin2",1e-04,18976830.0258704,27277695.962812,40583719.1673956
"MOZ","district-estimate","admin2",2e-04,12822651.8004469,20495805.1606487,27428736.2199768
"MOZ","district-estimate","admin2",0.001,199479.668261733,2256644.01976195,6297522.85741733
